,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
2,vs. Division,Northwest,3,2,1,0.667,12.0,10.3,21.3,0.484,3.0,8.7,0.346,1.3,2.0,0.667,1.0,8.7,9.7,7.3,4.7,1.3,1.3,1.0,6.3,3.0,25.0,-5.7,3,4,2,3,1,6,4,5,2,1,3,6,6,6,6,5,6,3,5,6,5,5,5,6,6,6,165,Northwest
3,vs. Division,Pacific,2,1,1,0.5,12.0,13.0,23.5,0.553,2.5,7.5,0.333,5.5,7.0,0.786,2.5,8.5,11.0,9.5,2.0,2.5,3.5,0.5,4.0,5.5,34.0,6.5,5,5,2,5,1,1,2,2,3,3,4,3,3,3,2,6,4,1,1,2,1,2,2,3,1,2,165,Pacific
4,vs. Division,Southeast,3,3,0,1.0,12.0,11.0,23.7,0.465,1.7,7.3,0.227,4.0,4.3,0.923,4.0,9.7,13.7,9.0,4.0,2.7,3.3,0.0,6.3,4.0,27.7,2.3,3,3,1,1,1,3,1,6,6,4,6,5,5,1,1,3,1,2,3,1,2,1,4,5,5,4,165,Southeast
5,vs. Division,Southwest,6,4,2,0.667,12.0,10.5,21.0,0.5,3.7,8.0,0.458,5.8,7.5,0.778,1.8,8.8,10.7,7.2,3.8,1.5,2.3,0.8,6.7,5.8,30.5,3.8,1,1,6,3,1,5,5,3,1,2,1,2,2,4,3,4,5,4,2,4,4,4,6,2,3,3,165,Southwest
0,vs. Division,Atlantic,5,4,1,0.8,12.0,12.8,21.4,0.598,4.4,8.2,0.537,3.6,4.2,0.857,0.6,8.2,8.8,8.2,4.0,2.2,2.4,1.0,6.4,4.8,33.6,6.2,2,1,2,2,1,2,3,3,3,3,2,5,5,3,6,5,5,4,3,5,2,4,4,3,2,4,165,Atlantic
1,vs. Division,Central,2,1,1,0.5,12.0,11.5,19.5,0.59,4.0,9.0,0.444,3.0,3.5,0.857,1.5,10.5,12.0,9.0,4.5,1.0,3.5,0.0,4.5,2.5,30.0,8.5,5,5,2,5,1,4,5,4,4,2,4,6,6,3,4,1,3,2,5,6,1,1,1,6,6,2,165,Central
2,vs. Division,Northwest,3,2,1,0.667,12.0,13.0,21.3,0.609,4.7,9.7,0.483,6.0,7.7,0.783,1.0,8.3,9.3,9.3,3.7,4.3,1.3,1.0,5.0,6.3,36.7,11.3,3,4,2,3,1,1,4,1,2,1,3,2,2,5,5,4,4,1,2,1,6,3,2,1,1,1,165,Northwest
3,vs. Division,Pacific,2,1,1,0.5,12.0,10.5,17.5,0.6,5.0,7.5,0.667,4.0,6.5,0.615,2.0,6.0,8.0,9.0,6.0,2.5,2.0,0.5,5.5,4.5,30.0,0.5,5,5,2,5,1,5,6,2,1,5,1,4,3,6,3,6,6,3,6,4,3,2,3,4,5,6,165,Pacific
4,vs. Division,Southeast,3,3,0,1.0,12.0,10.0,21.7,0.462,2.7,6.7,0.4,7.7,8.7,0.885,2.7,10.3,13.0,6.3,3.3,2.7,1.3,1.7,6.7,5.7,30.3,7.3,3,3,1,1,1,6,2,6,6,6,5,1,1,1,2,2,1,6,1,3,5,6,5,2,4,3,165,Southeast
5,vs. Division,Southwest,6,4,2,0.667,12.0,11.7,22.7,0.515,3.0,8.0,0.375,4.7,5.3,0.875,3.0,9.3,12.3,8.0,4.2,2.8,1.8,1.2,6.7,3.5,31.0,5.8,1,1,6,3,1,3,1,5,5,4,6,3,4,2,1,3,2,5,4,2,4,5,6,5,3,5,165,Southwest
0,vs. Division,Atlantic,5,4,1,0.8,12.0,9.2,17.6,0.523,1.6,5.4,0.296,5.0,6.2,0.806,1.2,9.0,10.2,6.2,4.0,2.2,2.2,0.4,6.2,5.0,25.0,-1.6,2,1,2,2,1,6,6,1,6,6,6,1,1,5,6,2,4,5,4,3,4,1,5,2,5,6,165,Atlantic
1,vs. Division,Central,2,1,1,0.5,12.0,11.5,22.0,0.523,3.5,10.0,0.35,3.0,3.0,1.0,3.0,6.0,9.0,7.5,5.0,2.5,3.5,0.5,4.0,2.5,29.5,-1.0,5,5,2,5,1,1,2,1,3,2,4,3,5,1,2,6,6,2,6,2,1,2,1,5,1,5,165,Central
2,vs. Division,Northwest,3,2,1,0.667,12.0,9.7,19.0,0.509,2.7,8.0,0.333,2.7,4.3,0.615,1.3,8.7,10.0,7.3,4.7,3.0,1.7,0.7,7.3,4.7,24.7,1.0,3,4,2,3,1,4,5,3,5,5,5,5,3,6,5,4,5,3,5,1,5,3,6,4,6,4,165,Northwest
3,vs. Division,Pacific,2,1,1,0.5,12.0,11.5,24.0,0.479,4.0,11.0,0.364,2.0,2.0,1.0,4.5,7.5,12.0,7.5,2.0,1.0,1.0,1.5,5.5,2.5,29.0,2.0,5,5,2,5,1,2,1,5,1,1,3,6,6,1,1,5,1,1,1,5,6,6,4,6,2,3,165,Pacific
4,vs. Division,Southeast,3,3,0,1.0,12.0,9.7,20.3,0.475,3.3,8.7,0.385,3.0,3.0,1.0,2.7,8.7,11.3,7.3,3.7,0.7,2.7,1.0,4.7,5.3,25.7,3.0,3,3,1,1,1,5,4,6,4,4,2,4,4,1,3,3,3,4,3,6,2,4,2,1,4,2,165,Southeast
5,vs. Division,Southwest,6,4,2,0.667,12.0,10.2,20.3,0.5,3.7,9.0,0.407,4.0,4.8,0.828,2.5,9.2,11.7,6.0,3.5,1.5,2.3,1.3,5.3,4.8,28.0,4.7,1,1,6,3,1,3,3,4,2,3,1,2,2,4,4,1,2,6,2,4,3,5,3,3,3,1,165,Southwest
